first,second
6,"[1776, 3424, 3005, 1224, 2468, 2369, 526, 4509, 1229, 2225, 466, 5963, 3800, 2292, 419, 1968, 4193, 870, 3199, 4541, 3799, 617, 1782, 3672, 2690, 5228, 4895, 5180, 5172, 1951, 2494, 208, 1735, 87, 1191, 5566, 5811, 5555, 1628, 1627, 2226, 4527, 4520, 3772, 810, 5907, 2239, 863, 1521, 1774, 5607, 1508, 5973, 4167, 4146, 3921, 1909, 144, 2995, 864, 1062, 16, 1206, 6903, 510, 1969, 5601, 2722, 4836, 868, 621, 4403, 5615, 1557, 90, 2334, 2212, 2940, 4081, 6203, 3359, 160]"
11,"[743, 2423, 2699, 2029, 1716, 36, 1115, 2210, 4885, 2925, 3684, 4039, 2871, 300, 6225, 6288, 5820, 6503, 2458, 339, 6218, 1438, 6213, 5135, 2027, 4504, 4313, 2434, 2968, 4038, 4505, 5074, 3311, 5053, 3124, 2562, 545, 6209, 2983, 6489, 1849, 3645, 3301, 609, 1089, 4358, 2630, 1053, 6318, 703, 3308, 5795, 1067, 6933, 2507, 3746, 5120, 5394, 4071, 3973, 5340, 6182, 2878, 4216, 1442, 3638, 4612, 5268, 3320, 5654, 5470, 3468, 593, 5749]"
9,"[5377, 5860, 3827, 5351, 4999, 4956, 3840, 6731, 5828, 4609, 4914, 6807, 6766, 4953, 4907, 2780, 1691, 4243, 3556, 6798, 5653, 6386, 5998, 2386, 2754, 5665, 4577, 6740, 3508, 6075, 3182, 4262, 4582, 1269, 5733, 3137, 4992, 3825, 6757, 2403, 929, 3538, 6738, 5285, 6501, 5352, 6672, 3884, 6064, 3484, 6372]"
14,"[6677, 453, 2450, 5069, 6533, 1078, 3002, 2544, 374, 3409, 1550, 3354, 2560, 4485, 399, 1183, 2982, 1833, 773, 441, 5794, 2991, 2686, 2567, 3326, 3578, 1874, 2978, 2274, 5046, 4069, 5079, 801, 2237, 4076, 4012, 309, 3980, 1489]"
3,"[5131, 5457, 6195, 3329, 6914, 6286, 4764, 5113, 6656, 4256, 6300, 6566, 6611, 6930, 4756, 6926, 6273, 5123, 4758, 6163, 6102, 6224, 6094, 5887]"
7,"[5408, 1429, 3518, 3794, 567, 4917, 2801, 3924, 2041, 4495, 4996, 1346, 2100, 956, 4013, 3886, 223, 3492, 491, 5006, 2397, 2766, 5022, 950, 2432, 214, 4535, 3936, 6825, 151, 1611, 2761, 1871, 3821, 1646, 6407, 2304, 2008, 5013, 6010, 523, 1323, 194, 3143, 6749, 3784, 3058, 180, 3071, 1598, 4851, 4900, 211, 4187, 1704, 2018, 2412, 2406, 1344, 3123, 657, 5658, 3180, 3853, 1651, 4570, 4923, 5400, 3460, 118, 6361, 565, 1345, 5642, 4679, 215, 3923, 4512, 2787, 4929, 1329, 596, 566, 1296, 3203, 2009, 4646, 6369, 535, 4247, 2084, 4583, 1278, 5325, 6002, 4945]"
4,"[4, 5076, 2324, 2600, 5219, 2150, 861, 1228, 5056, 887, 5202, 2868, 4103, 2221, 2474, 758, 5439, 4873, 1227, 317, 3389, 3738, 4165, 872, 670, 5209, 3725, 4130, 2651, 4790, 867, 5542, 2663, 3285, 384, 2317, 2475, 729, 2973, 5894, 857, 40, 1540, 1400, 3938, 4510, 831, 26, 4460, 3599, 1935, 3682, 2516, 3380, 710, 5067, 859, 1226, 1574, 477, 1939, 1519, 3565, 5162, 1562, 2655, 1096, 1404, 3331, 4496, 88, 2608, 856, 3064]"
13,"[5458, 5844, 3693, 389, 3650, 6199, 3759, 4060, 5880, 6217, 4753, 3274, 6202, 716, 1242, 4811, 4350, 4862, 1949, 4365, 1091, 6137, 250, 1014, 6335, 6911, 5100, 3647, 196, 4418, 434, 324, 1486, 4727, 6647, 5487, 749, 6537, 5169, 6901, 4782, 1432, 5061, 362, 370, 5382, 1373]"
15,"[4377, 2626, 5506, 4723, 12, 396, 5818, 5248, 5762, 2563, 3926, 5139, 1304, 2956, 44, 2572, 5263, 5427, 3327, 6580, 2976, 6675, 4692, 5822, 5922, 1571, 4439, 3699, 37, 4183, 3261, 1419, 4481, 2817, 1154, 2839, 6668, 6684, 3632, 1171, 4419]"
2,"[4588, 1659, 6831, 6805, 3160, 2797, 6093, 6013, 3524, 5722, 1694, 6773, 3109, 6211, 948, 3829, 4622, 6789, 6436, 4973, 4598, 4971, 6014, 6099, 3500, 3151, 1693, 3157, 6467, 5846, 5017, 5693, 6486, 6056, 6759, 2739, 4606, 1335, 2781, 3894, 3150, 952, 953, 5714, 3527, 3830, 5374, 5713, 6832, 6788, 6803, 5000, 5358, 3523, 6078, 3152, 6810, 6053, 4253]"
10,"[6650, 6127, 2861, 1785, 6197, 6591, 5344, 5703, 4980, 4026, 249, 6685, 1649, 2555, 1000, 5471, 772, 5849, 6900, 4719, 1799, 1861, 5750, 4303, 4783, 2007, 1740, 6885, 1739, 2568, 4054, 5763, 5796, 3748, 5532, 4466, 6150, 6581, 2804, 2320, 1390, 4283, 1012, 1007, 6545, 3928, 4438, 6156, 4213, 5048, 5985, 6293, 1572, 591, 1380, 4649, 4737, 3971, 4392]"
18,"[1485, 6103, 592, 6618, 5387, 3911, 2952, 2156, 6658, 610, 2435, 4915, 5824, 2532, 5881, 1597, 3321, 6016, 4816, 4867, 4360, 6235, 6892, 5497, 6724, 5238, 4020, 5830, 3498, 6847, 2033, 774, 5823, 6604, 4077, 2035, 4258, 6594, 1956, 6155, 6268, 6600, 3130, 6782, 2, 4724, 4531, 6840, 4916, 984, 5831, 4745, 5058, 3302, 5153, 1771, 1717]"
21,"[4467, 3352, 3015, 48, 4050, 2259, 1060, 1945, 3634, 80, 693, 2252, 5893, 2879, 45, 1748, 3702, 6542, 3595, 21, 4341, 4455]"
