1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
5944,715,5637,3064,4739,6793,2069,2744,1049,1116,528,3017,5027,3127,3168,1578,6740,539,3031,4190,3451,1748,301,4344
2777,1335,4758,5219,2142,4527,5013,3013,2386,4054,2878,1302,4060,5046,3926,2786,1922,2156,2536,3868,2879,1049,6896,6344
5520,3145,126,378,3759,6744,2856,6567,1372,1408,5458,3440,3472,5341,6693,1770,268,169,1197,5757,997,3069,5872,4472
1106,2429,932,998,3989,304,4766,3818,4995,2861,1534,6174,3754,923,3904,4523,545,2600,2016,2627,1381,4226,3104,2450
6938,304,1928,4020,498,4822,1327,1048,1032,4956,1353,3977,6780,392,6065,950,5906,5400,6224,932,2179,5402,6344,4451
