1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
226,5129,6806,4156,5327,6432,5846,6769,2381,4756,2044,5569,4224,6018,6940,6230,6000,6354,6010,6748,6714,6910,6521,3307
4615,6436,6273,3938,5456,4193,3518,6634,6807,6127,3320,5671,5844,6677,4183,6439,200,6016,2414,6792,6542,5719,3790,6444
6582,6805,3436,5887,5487,4636,6263,5853,6460,1627,4183,5303,5989,6456,5300,1674,4411,6748,4755,6082,4239,6733,6782,6215
3965,6814,6080,6459,4496,6826,5487,4228,5990,5671,5488,6525,5614,3836,5706,6491,6370,6191,6003,4770,5681,6801,5844,4406
4406,2348,5068,4420,4294,6526,6409,6826,887,6399,4615,6795,6435,4755,6400,5671,5042,5707,4446,5761,4937,4938,3902,4802
