1,2,3,4,5,6,7,8,9,10,11,12
5593,3530,5915,4872,1673,1088,4294,47,5700,1052,6097,3719
3684,6409,1480,6122,3938,6914,2324,2817,4945,4896,6634,5497
4882,3374,6142,5577,4911,1458,6797,1047,2959,5897,2367,4573
2725,2965,1824,3104,3864,3754,1485,4336,2872,3489,4288,2298
6565,6409,3393,1533,4386,4664,3090,3992,1233,5069,928,4307
