first,second
9,"[6677, 3424, 4495, 170, 1229, 5415, 3575, 1865, 3800, 5582, 6851, 3377, 1968, 870, 1000, 4873, 508, 3042, 617, 5164, 5254, 6706, 5180, 5250, 5573, 485, 1954, 4165, 5418, 1735, 1225, 872, 2679, 1603, 3753, 5566, 5811, 5555, 523, 4527, 4520, 180, 5907, 4860, 4503, 2290, 863, 3735, 3938, 5023, 1508, 537, 4827, 5904, 4146, 4136, 281, 4672, 3371, 3944, 2830, 1388, 1206, 6903, 1969, 877, 5601, 4836, 868, 1734, 3781, 2506, 993, 4496, 5210, 3213, 160, 524, 3064]"
14,"[4140, 4080, 453, 1078, 2544, 374, 3354, 2560, 44, 1183, 2982, 1833, 380, 441, 355, 3687, 2121, 2237, 4449, 4012, 309, 4061, 3980, 1780]"
3,"[6131, 6127, 3924, 2041, 1716, 2022, 2100, 1685, 4980, 6861, 3886, 249, 1649, 4915, 534, 547, 5414, 6331, 2761, 2321, 5750, 4303, 2007, 5019, 1646, 1739, 2806, 3062, 6107, 194, 2056, 6847, 2033, 4582, 2018, 246, 1727, 1341, 1651, 3460, 1953, 3130, 565, 3112, 3426, 215, 494, 4213, 5788, 4512, 5985, 4216, 906, 566, 2009, 984, 591, 277, 4649, 1278, 5749]"
7,"[6211, 5820, 3321, 1438, 5693, 4358, 6604, 4612, 3320]"
4,"[1255, 2388, 592, 571, 3794, 1630, 2384, 518, 1346, 543, 3114, 1996, 4173, 1669, 223, 5976, 5006, 2399, 2062, 5745, 5022, 4190, 214, 4541, 4553, 5413, 2383, 4903, 3776, 2719, 1302, 5013, 5641, 1280, 3082, 1623, 1627, 3182, 4900, 237, 1671, 3439, 178, 1704, 1714, 3159, 4538, 2061, 3180, 5400, 5399, 6130, 5394, 2757, 3450, 1345, 216, 579, 1281, 5929, 3923, 3440, 3132, 3889, 3538, 1329, 596, 2777, 6122, 4188, 1689, 1296, 4646, 535, 989, 5986, 4247, 2084, 4583, 3837, 3884, 6854, 541, 5245, 1717]"
13,"[3217, 5387, 2801, 2699, 2029, 163, 2369, 1633, 4864, 3552, 2446, 526, 4509, 4282, 4508, 956, 924, 499, 2435, 6685, 2325, 4295, 950, 5471, 2458, 2710, 3799, 2690, 1357, 4895, 4535, 520, 3936, 151, 4896, 1611, 940, 1597, 199, 6844, 3821, 551, 200, 5730, 208, 3061, 3790, 4497, 5263, 3907, 4893, 3369, 2304, 4664, 3107, 3395, 2008, 1622, 6166, 1628, 1987, 545, 3058, 5589, 5532, 3071, 1598, 4851, 3384, 2117, 2333, 171, 4296, 4559, 233, 3196, 5817, 2320, 4283, 4510, 492, 5607, 4684, 1344, 5973, 2090, 4919, 4167, 5572, 3921, 5984, 6184, 118, 4679, 1316, 2085, 1585, 5420, 487, 1604, 2722, 5615, 2778, 909, 2334, 4884, 5590, 119, 4161, 1373]"
15,"[5408, 6650, 5458, 6695, 5568, 4026, 6656, 772, 6900, 2179, 1242, 4867, 4783, 4365, 6137, 4313, 250, 1740, 6885, 6548, 6517, 6177, 4505, 5763, 6881, 5830, 5796, 3784, 3748, 4466, 6150, 2591, 4148, 3294, 2804, 1390, 2837, 1035, 1012, 2229, 1007, 185, 3928, 4728, 2507, 3746, 3417, 6156, 5169, 2817, 3973, 6901, 5048, 2834, 5937, 6293, 6299, 3203, 1572, 1380, 4162, 480, 5382, 5719]"
2,"[5860, 6805, 6773, 3829, 6436, 6439, 4973, 6766, 4971, 5846, 6759, 5714, 3527, 3830, 6757, 6763, 6803, 3523, 6053]"
10,"[5131, 1485, 4423, 5506, 6197, 3650, 2210, 4405, 5880, 6217, 4753, 6286, 5113, 5849, 6300, 2532, 716, 4719, 4811, 1799, 6566, 1861, 4816, 4862, 2572, 4038, 6580, 5086, 5074, 3311, 6613, 6911, 2568, 6935, 6638, 6209, 2983, 5100, 2630, 5155, 4418, 4077, 6647, 6347, 6545, 3308, 5487, 37, 5120, 6537, 6514, 3638, 3302, 4737, 6872, 4392]"
18,"[4377, 2191, 389, 12, 4050, 6634, 2575, 2259, 3002, 4060, 2563, 2555, 3274, 6202, 5527, 1826, 1080, 1804, 4350, 4089, 5808, 1518, 2980, 1091, 4370, 5444, 2223, 5804, 2526, 3694, 324, 2922, 3326, 3702, 3242, 3578, 3643, 4460, 6542, 5426, 1419, 749, 4462, 709, 1154, 5061, 6265, 4397, 4403, 362, 5075, 3283, 3632, 1783, 3663, 348, 6215, 5498, 4455]"
21,"[6103, 567, 4939, 6646, 4996, 4911, 3842, 5743, 2363, 3492, 4594, 3075, 3457, 4615, 4193, 6346, 1637, 4206, 1639, 2432, 4598, 6825, 6866, 4629, 4657, 6745, 1306, 2703, 2016, 6747, 6373, 1990, 2386, 205, 3868, 5017, 6344, 6480, 2055, 6724, 5738, 3124, 1323, 3143, 6489, 4250, 4618, 1269, 211, 5733, 4982, 4187, 3462, 2035, 4258, 4992, 2412, 2406, 568, 577, 3123, 5658, 3825, 4570, 4923, 2764, 4183, 6070, 6473, 6361, 1668, 2348, 1984, 1726, 1690, 3859, 929, 3809, 2017, 3134, 2787, 4929, 192, 2030, 6738, 6501, 944, 6672, 4988, 3468, 206, 593, 3094]"
