1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
6111,4887,6000,6939,5527,122,4768,1946,880,5369,4756,5846,6487,3044,2366,6849,496,5822,2530,4419,3282,4341,57,663
1424,6436,1341,4173,657,2871,3321,4360,4495,2210,5057,4606,2029,4449,6156,478,881,709,6717,1911,4657,6273,2781,5025
5876,6544,4236,50,3074,6427,4825,1159,5887,4416,1849,2788,3328,5450,2884,4184,6522,6389,116,4721,4636,3340,4303,2462
4444,1367,6801,6561,5197,6648,4381,1563,3253,3596,4239,2326,6784,4805,2575,2627,5624,5845,4357,3182,2134,5844,2579,1544
1708,5737,6486,4663,5528,815,4979,3613,5969,6487,58,5248,4363,5623,1431,6631,5846,5114,6435,4058,4198,156,6273,5837
