1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2034,162,6023,1052,5911,3977,2959,107,169,2402,6605,6053,6392,1580,2726,259,1913,4817,5546,4724,47,2250,3346,1535
5194,6053,1649,4188,109,6896,4358,5831,870,4753,3637,6063,4896,2544,4728,4106,5427,389,2754,5546,4939,6199,6472,6865
3283,5071,6791,4689,4188,3830,6896,4859,4368,2188,6142,3116,5897,870,5055,5628,2959,2797,2157,2250,5685,350,5433,2341
126,3858,6776,2965,2872,4391,1824,4432,3337,4689,5646,4288,4935,1082,5194,115,1302,4420,4791,991,3411,6569,2861,5889
1978,3117,5343,2355,1043,3393,191,2877,2819,3530,392,325,6286,4728,1556,2908,4420,4741,6772,5076,6774,2341,5457,2961
